,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-07-31,2022-08-24,1.19,1.02,0.17,16.6667
1,2022-04-30,2022-05-31,0.98,0.94,0.04,4.2553
2,2022-01-31,2022-03-01,0.84,0.74,0.1,13.5135
3,2021-10-31,2021-11-30,1.27,0.92,0.35,38.0435
4,2021-07-31,2021-08-25,1.48,0.92,0.56,60.8696
5,2021-04-30,2021-05-27,1.21,0.89,0.32,35.9551
6,2021-01-31,2021-02-25,1.04,0.75,0.29,38.6667
7,2020-10-31,2020-12-01,1.74,0.75,0.99,132
8,2020-07-31,2020-08-25,1.44,0.67,0.77,114.9254
9,2020-04-30,2020-05-28,0.7,0.69,0.01,1.4493
10,2020-01-31,2020-02-25,0.66,0.56,0.1,17.8571
11,2019-10-31,2019-12-03,0.75,0.66,0.09,13.6364
12,2019-07-31,2019-08-22,0.66,0.47,0.19,40.4255
13,2019-04-30,2019-06-04,0.93,0.61,0.32,52.459
14,2019-01-31,2019-03-04,0.7,0.55,0.15,27.2727
15,2018-10-31,2018-11-27,0.61,0.5,0.11,22
16,2018-07-31,2018-08-29,0.71,0.47,0.24,51.0638
17,2018-04-30,2018-05-29,0.74,0.46,0.28,60.8696
18,2018-01-31,2018-02-28,0.35,0.34,0.01,2.9412
19,2017-10-31,2017-11-21,0.39,0.37,0.02,5.4054
20,2017-07-31,2017-08-22,0.33,0.32,0.01,3.125
21,2017-04-30,2017-05-18,0.28,0.26,0.02,7.6923
22,2017-01-31,2017-02-28,0.28,0.25,0.03,12
23,2016-10-31,2016-11-17,0.24,0.21,0.03,14.2857
24,2016-07-31,2016-08-31,0.24,0.22,0.02,9.0909
25,2016-04-30,2016-05-18,0.24,0.23,0.01,4.3478
26,2016-01-31,2016-02-24,0.19,0.19,0,0
27,2015-10-31,2015-11-18,0.21,0.19,0.02,10.5263
28,2015-07-31,2015-08-20,0.19,0.18,0.01,5.5556
29,2015-04-30,2015-05-20,0.16,0.14,0.02,14.2857
30,2015-01-31,2015-02-25,0.14,0.14,0,0
31,2014-10-31,2014-11-19,0.14,0.13,0.01,7.6923
32,2014-07-31,2014-08-21,0.13,0.12,0.01,8.3333
33,2014-04-30,2014-05-20,0.11,0.1,0.01,10
34,2014-01-31,2014-02-27,0.07,0.06,0.01,16.6667
35,2013-10-31,2013-11-18,0.09,0.09,0,0
36,2013-07-31,2013-08-29,0.09,0.07,0.02,28.5714
37,2013-04-30,2013-05-23,0.1,0.1,0,0
38,2013-01-31,2013-02-28,0.13,0.1,0.03,30
39,2012-10-31,2012-11-20,0.08,0.08,0,0
40,2012-07-31,2012-08-23,0.11,0.1,0.01,10
41,2012-04-30,2012-05-17,0.09,0.09,0,0
42,2012-01-31,2012-02-23,0.11,0.1,0.01,10
43,2011-10-31,2011-11-17,0.09,0.08,0.01,12.5
44,2011-07-31,2011-08-18,0.08,0.07,0.01,14.2857
45,2011-04-30,2011-05-19,0.07,0.07,0,0
46,2011-01-31,2011-02-24,0.08,0.06,0.02,33.3333
47,2010-10-31,2010-11-18,0.08,0.08,0,0
48,2010-07-31,2010-08-19,0.07,0.07,0,0
49,2010-04-30,2010-05-20,0.08,0.08,0,0
50,2010-01-31,2010-02-24,0.04,0.04,0,0
51,2009-10-31,2009-11-17,0.04,0.04,0,0
52,2009-07-31,2009-08-20,0.04,0.04,0,0
53,2009-04-30,2009-05-21,0.04,0.03,0.01,33.3333
54,2009-01-31,2009-02-25,0.03,0.02,0.01,50
55,2008-10-31,2008-11-20,0.02,0.02,0,0
56,2008-07-31,2008-08-20,0.02,0.02,0,0
57,2008-04-30,2008-05-21,0.02,0.02,0,0
58,2008-01-31,2008-02-27,0.02,0.01,0.01,100
59,2007-10-31,2007-11-15,0.01,0.01,0,0
60,2007-07-31,2007-08-15,0.01,None,None,None
61,2007-04-30,2007-05-16,0.01,0.02,-0.01,-50
62,2007-01-31,2007-02-21,0.02,0.02,0,0
63,2006-10-31,2006-11-15,0.02,0.01,0.01,100
64,2006-07-31,2006-08-16,0.02,0.01,0.01,100
65,2006-04-30,2006-05-17,0.01,0.01,0,0
66,2006-01-31,2006-02-22,0.01,0.01,0,0
67,2005-10-31,2005-11-16,0.01,0.01,0,0
68,2005-07-31,2005-08-17,0.01,0.01,0,0
69,2005-04-30,2005-05-18,0.01,0.01,0,0
70,2005-01-31,2005-02-17,0.01,None,None,None
71,2004-10-31,2004-11-17,0.0046,None,None,None
72,2004-07-31,2004-08-19,0.0027,None,None,None
